--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
031.769  000.516  000.086: require('cmp.types')
031.876  000.106  000.106: require('cmp.utils.highlight')
032.022  000.073  000.073: require('cmp.utils.debug')
032.025  000.148  000.075: require('cmp.utils.autocmd')
032.306  001.399  000.358: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
032.659  000.084  000.084: require('cmp.utils.char')
032.662  000.156  000.071: require('cmp.utils.str')
032.910  000.073  000.073: require('cmp.utils.buffer')
032.912  000.166  000.093: require('cmp.utils.keymap')
032.913  000.250  000.084: require('cmp.utils.feedkeys')
033.158  000.083  000.083: require('cmp.config.mapping')
033.236  000.078  000.078: require('cmp.utils.cache')
033.387  000.074  000.074: require('cmp.config.compare')
033.388  000.151  000.077: require('cmp.config.default')
033.401  000.414  000.102: require('cmp.config')
033.406  000.492  000.079: require('cmp.utils.async')
033.682  000.072  000.072: require('cmp.utils.pattern')
033.684  000.161  000.089: require('cmp.context')
033.999  000.147  000.147: require('cmp.utils.snippet')
034.123  000.124  000.124: require('cmp.matcher')
034.133  000.369  000.099: require('cmp.entry')
034.139  000.455  000.086: require('cmp.source')
034.417  000.123  000.123: require('cmp.utils.event')
034.775  000.127  000.127: require('cmp.utils.options')
034.778  000.248  000.121: require('cmp.utils.window')
034.779  000.360  000.112: require('cmp.view.docs_view')
034.956  000.176  000.176: require('cmp.view.custom_entries_view')
035.113  000.156  000.156: require('cmp.view.wildmenu_entries_view')
035.210  000.096  000.096: require('cmp.view.native_entries_view')
035.340  000.129  000.129: require('cmp.view.ghost_text_view')
035.345  001.204  000.164: require('cmp.view')
035.645  003.230  000.511: require('cmp.core')
035.822  000.123  000.123: require('cmp.config.sources')
035.962  000.138  000.138: require('cmp.config.window')
035.993  003.671  000.180: require('cmp')
036.127  000.133  000.133: require('ashrock.md_frontmatter')
038.451  000.290  000.290: sourcing /Users/leejaeseok/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
038.977  000.118  000.118: require('telescope._extensions')
038.979  000.508  000.389: require('telescope')
039.876  000.279  000.279: require('plenary.bit')
039.994  000.116  000.116: require('plenary.functional')
040.024  000.750  000.355: require('plenary.path')
040.035  000.901  000.151: require('plenary.strings')
040.140  000.104  000.104: require('telescope.deprecated')
040.843  000.304  000.304: require('plenary.log')
040.910  000.642  000.337: require('telescope.log')
041.761  000.250  000.250: require('plenary.compat')
041.772  000.659  000.409: require('plenary.job')
041.913  000.140  000.140: require('telescope.state')
041.929  001.018  000.219: require('telescope.utils')
041.933  001.792  000.132: require('telescope.sorters')
043.403  004.424  001.627: require('telescope.config')
046.269  000.116  000.116: require('nvim-ts-autotag._log')
046.381  000.110  000.110: require('nvim-ts-autotag.config.init')
047.404  000.157  000.157: require('vim.treesitter.language')
047.535  000.129  000.129: require('vim.func')
047.662  000.125  000.125: require('vim.func._memoize')
047.670  000.672  000.260: require('vim.treesitter.query')
047.780  000.110  000.110: require('vim.treesitter._range')
047.791  000.975  000.193: require('vim.treesitter.languagetree')
047.794  001.088  000.113: require('vim.treesitter')
047.795  001.205  000.118: require('nvim-ts-autotag.utils')
047.797  001.288  000.083: require('nvim-ts-autotag.config.ft')
047.799  001.417  000.128: require('nvim-ts-autotag.config.plugin')
047.802  001.850  000.207: require('nvim-ts-autotag.internal')
047.803  002.770  000.920: require('nvim-ts-autotag')
048.664  000.096  000.096: require('nvim-treesitter.utils')
049.360  000.694  000.694: require('nvim-treesitter.parsers')
049.770  000.101  000.101: require('nvim-treesitter.compat')
049.926  000.084  000.084: require('nvim-treesitter.ts_utils')
049.929  000.158  000.075: require('nvim-treesitter.tsrange')
050.119  000.189  000.189: require('nvim-treesitter.caching')
050.126  000.549  000.101: require('nvim-treesitter.query')
050.140  000.657  000.108: require('nvim-treesitter.configs')
050.143  000.783  000.125: require('nvim-treesitter.info')
050.259  000.105  000.105: require('nvim-treesitter.shell_command_selectors')
050.297  001.835  000.156: require('nvim-treesitter.install')
050.376  000.078  000.078: require('nvim-treesitter.statusline')
050.506  000.130  000.130: require('nvim-treesitter.query_predicates')
050.508  002.394  000.352: require('nvim-treesitter')
050.748  002.685  000.291: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
050.961  000.100  000.100: require('nvim-treesitter.highlight')
051.139  000.082  000.082: require('nvim-treesitter.indent')
051.215  003.411  000.544: require('nvim-treesitter')
051.307  006.339  000.159: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.lua
052.703  000.196  000.196: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
053.026  000.162  000.162: require('cmp_nvim_lsp.source')
053.027  000.304  000.142: require('cmp_nvim_lsp')
053.718  000.584  000.584: require('lspconfig')
053.854  000.134  000.134: require('lspconfig.configs.tailwindcss')
054.507  000.089  000.089: require('lspconfig.manager')
054.616  000.105  000.105: require('lspconfig.configs.ts_ls')
055.079  000.108  000.108: require('lspconfig.configs.astro')
055.336  000.089  000.089: require('mason-lspconfig.server_configurations.astro')
055.473  000.074  000.074: require('lspconfig.configs.lua_ls')
055.886  000.089  000.089: require('lspconfig.configs.eslint')
056.307  000.083  000.083: require('lspconfig.configs.biome')
056.641  000.082  000.082: require('lspconfig.configs.css_variables')
057.111  000.116  000.116: require('lspconfig.configs.vimls')
058.523  000.220  000.220: require('lspconfig.configs.cssls')
059.008  000.132  000.132: require('lspconfig.configs.html')
059.620  000.099  000.099: require('lspconfig.configs.markdown_oxide')
060.266  000.239  000.239: require('lspconfig.configs.jdtls')
060.819  000.133  000.133: require('lspconfig.configs.rust_analyzer')
061.354  000.141  000.141: require('lspconfig.configs.denols')
061.952  000.131  000.131: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/plugin/prettier.vim
062.101  000.007  000.007: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/css.vim
062.179  000.008  000.008: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/graphql.vim
062.229  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/html.vim
062.280  000.006  000.006: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/javascript.vim
062.332  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/json.vim
062.378  000.004  000.004: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/less.vim
062.423  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/lua.vim
062.475  000.009  000.009: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/markdown.vim
062.526  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/php.vim
062.570  000.004  000.004: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/ruby.vim
062.615  000.004  000.004: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/scss.vim
062.664  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/svelte.vim
062.716  000.007  000.007: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/typescript.vim
062.760  000.004  000.004: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/vue.vim
062.804  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/xml.vim
062.859  000.005  000.005: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/yaml.vim
063.237  000.009  000.009: sourcing /Users/leejaeseok/.local/share/nvim/lazy/goyo.vim/plugin/goyo.vim
063.780  000.021  000.021: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-be-good/plugin/vim-be-good.vim
064.366  000.124  000.124: sourcing /Users/leejaeseok/.local/share/nvim/lazy/undotree/plugin/undotree.vim
065.248  000.486  000.486: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
065.341  000.006  000.006: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
065.544  000.079  000.079: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/editorconfig.lua
065.663  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/gzip.vim
065.762  000.060  000.060: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/man.lua
