--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
030.454  000.006  000.006: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/vue.vim
030.510  000.006  000.006: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/xml.vim
030.566  000.007  000.007: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-prettier/ftdetect/yaml.vim
030.906  000.092  000.092: sourcing /Users/leejaeseok/.local/share/nvim/lazy/undotree/plugin/undotree.vim
033.032  000.089  000.089: require('mason-core.path')
033.275  000.125  000.125: require('mason-core.functional')
033.552  000.122  000.122: require('mason-core.functional.data')
033.557  000.246  000.125: require('mason-core.functional.function')
033.673  000.104  000.104: require('mason-core.functional.relation')
033.815  000.126  000.126: require('mason-core.functional.logic')
033.826  000.793  000.191: require('mason-core.platform')
033.944  000.117  000.117: require('mason.settings')
033.946  001.380  000.381: require('mason')
034.207  000.129  000.129: require('mason-core.functional.list')
034.318  000.101  000.101: require('mason-core.functional.string')
034.334  000.379  000.148: require('mason.api.command')
034.445  000.106  000.106: require('mason-registry.sources')
034.455  002.908  001.043: require('mason-core.functional')
034.617  000.162  000.162: require('mason-core.log')
034.706  000.087  000.087: require('mason-lspconfig.settings')
034.709  003.578  000.420: require('mason-lspconfig')
034.986  000.087  000.087: require('mason-lspconfig.notify')
035.111  000.378  000.291: require('mason-lspconfig.lspconfig_hook')
036.002  000.162  000.162: require('vim.lsp.log')
036.490  000.486  000.486: require('vim.lsp.protocol')
037.187  000.408  000.408: require('vim.lsp._snippet_grammar')
037.275  000.087  000.087: require('vim.highlight')
037.279  000.003  000.003: require('vim.F')
037.288  000.797  000.299: require('vim.lsp.util')
037.459  000.082  000.082: require('vim.lsp.sync')
037.462  000.173  000.091: require('vim.lsp._changetracking')
037.594  000.130  000.130: require('vim.lsp.rpc')
037.620  001.944  000.195: require('vim.lsp')
037.630  002.017  000.073: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
038.083  000.091  000.091: require('cmp_nvim_lsp.source')
038.085  000.437  000.346: require('cmp_nvim_lsp')
038.180  000.093  000.093: require('ashrock.utils')
038.267  000.085  000.085: require('mason-core.optional')
038.470  000.101  000.101: require('mason-core.functional.table')
038.497  000.229  000.128: require('mason-lspconfig.mappings.server')
038.657  000.077  000.077: require('mason-core.EventEmitter')
038.858  000.122  000.122: require('mason-core.async')
038.935  000.075  000.075: require('mason-core.async.uv')
038.938  000.280  000.083: require('mason-core.fs')
038.947  000.449  000.092: require('mason-registry')
039.434  000.128  000.128: require('lspconfig.util')
039.514  000.078  000.078: require('lspconfig.async')
039.515  000.320  000.114: require('lspconfig.configs')
039.517  000.402  000.082: require('lspconfig')
039.625  000.107  000.107: require('lspconfig.configs.cssls')
039.871  000.084  000.084: require('lspconfig.manager')
039.981  000.106  000.106: require('lspconfig.configs.ts_ls')
040.208  000.082  000.082: require('lspconfig.configs.tailwindcss')
040.479  000.079  000.079: require('lspconfig.configs.lua_ls')
040.641  000.079  000.079: require('lspconfig.configs.markdown_oxide')
040.804  000.075  000.075: require('lspconfig.configs.rust_analyzer')
040.988  000.069  000.069: require('lspconfig.configs.vimls')
041.135  000.087  000.087: require('lspconfig.configs.html')
041.321  000.079  000.079: require('lspconfig.configs.css_variables')
041.637  000.112  000.112: require('vim.lsp.handlers')
041.651  000.210  000.098: require('lspconfig.configs.jdtls')
041.862  000.092  000.092: require('lspconfig.configs.astro')
042.033  000.077  000.077: require('lspconfig.configs.eslint')
042.186  000.079  000.079: require('lspconfig.configs.denols')
042.333  000.076  000.076: require('lspconfig.configs.biome')
042.426  007.315  002.222: require('lspconfig.util')
042.504  000.076  000.076: require('mason-lspconfig.server_config_extensions')
044.025  000.136  000.136: require('mason-core.functional.number')
044.042  000.329  000.193: require('mason-lspconfig.api.command')
044.257  000.031  000.031: sourcing /Users/leejaeseok/.local/share/nvim/lazy/firenvim/plugin/firenvim.vim
045.269  000.551  000.551: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
045.430  000.007  000.007: sourcing /Users/leejaeseok/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
047.919  001.643  001.643: require('mini.icons')
048.456  000.412  000.412: require('oil')
048.875  000.417  000.417: require('oil.ringbuf')
048.977  000.101  000.101: require('oil.config')
049.650  000.552  000.552: require('vim.filetype')
050.087  000.171  000.171: require('oil.fs')
050.376  000.074  000.074: require('oil.constants')
050.382  000.286  000.212: require('oil.util')
051.136  000.101  000.101: require('fidget.spinner.patterns')
051.137  000.170  000.069: require('fidget.spinner')
051.208  000.070  000.070: require('fidget.options')
051.224  000.334  000.094: require('fidget.progress.display')
051.378  000.080  000.080: require('fidget.logger')
051.389  000.164  000.084: require('fidget.progress.lsp')
051.688  000.074  000.074: require('fidget.poll')
051.690  000.149  000.075: require('fidget.notification.model')
051.770  000.079  000.079: require('fidget.notification.window')
051.853  000.082  000.082: require('fidget.notification.view')
051.869  000.404  000.094: require('fidget.notification')
051.870  000.481  000.077: require('fidget.progress.handle')
051.881  001.074  000.095: require('fidget.progress')
051.976  000.094  000.094: require('fidget.commands')
052.120  000.073  000.073: require('fidget.integration.nvim-tree')
052.241  000.120  000.120: require('fidget.integration.xcodebuild-nvim')
052.243  000.266  000.072: require('fidget.integration')
052.245  001.777  000.344: require('fidget')
053.045  000.185  000.185: require('vim.diagnostic')
054.387  000.573  000.573: require('cmp.utils.api')
054.602  000.103  000.103: require('cmp.types.cmp')
054.786  000.090  000.090: require('cmp.utils.misc')
054.805  000.202  000.112: require('cmp.types.lsp')
054.914  000.109  000.109: require('cmp.types.vim')
054.915  000.526  000.113: require('cmp.types')
055.051  000.135  000.135: require('cmp.utils.highlight')
055.228  000.093  000.093: require('cmp.utils.debug')
055.231  000.179  000.086: require('cmp.utils.autocmd')
055.436  001.690  000.277: sourcing /Users/leejaeseok/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
056.002  000.113  000.113: require('cmp.utils.char')
056.005  000.221  000.108: require('cmp.utils.str')
056.229  000.066  000.066: require('cmp.utils.buffer')
056.233  000.157  000.091: require('cmp.utils.keymap')
056.234  000.228  000.072: require('cmp.utils.feedkeys')
056.621  000.079  000.079: require('cmp.config.mapping')
056.716  000.094  000.094: require('cmp.utils.cache')
056.867  000.074  000.074: require('cmp.config.compare')
056.868  000.150  000.076: require('cmp.config.default')
056.879  000.501  000.178: require('cmp.config')
056.884  000.650  000.149: require('cmp.utils.async')
